,0,1,2,3,4,5,6,7,8,9,10,11
0,2353158,Zyonguen	Zyonguen		12.36667	-0.45	P	PPL	BF		04				0		293	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
1,2353159,Zyiliwèlè	Zyiliwele		12.38333	-2.73333	P	PPL	BF		06				0		277	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
2,2353160,Zyanko	Zyanko		12.78333	-0.41667	P	PPL	BF		05				0		301	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
3,2353161,Zouta	Zouta		13.14908	-1.28197	P	PPL	BF		05	70			0		306	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
4,2353162,Zourtenga	Zourtenga		12.95741	-1.28745	P	PPL	BF		05				0		290	Africa/Ouagadougou	2018-09-05,,,,,,,,,,
5,2353163,Zourma	Zourma	Zourma	11.39083	-0.79556	P	PPL	BF		07	44			0		281	Africa/Ouagadougou	2012-05-05,,,,,,,,,,
6,2353164,Zouri	Zouri		11.65	-1.28333	P	PPL	BF		07				0		308	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
7,2353165,Zoura	Zoura	Zoura	13.28261	-1.47644	P	PPL	BF		05	15			0		315	Africa/Ouagadougou	2012-05-05,,,,,,,,,,
8,2353166,Zoungwa	Zoungwa		13.21895	-1.97142	P	PPL	BF		10	76			0		335	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
9,2353167,"Zoungou	Zoungou	Noungou,Zoungou	12.14441	-0.53169	P	PPL	BF		11				0		288	Africa/Ouagadougou	2013-02-08",,,,,,,,,,
10,2353168,Zoungo	Zoungo		13.28675	-1.14636	P	PPL	BF		05	70			0		315	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
11,2353169,"Zoundweogo Province	Zoundweogo Province	Province du Zoundweogo,Province du Zoundwéogo,Zoundweogo,Zoundweogo Province,Zoundwéogo",11.58333	-1,A,ADM2,BF,07,44,213112,291,Africa/Ouagadougou,2012-06-08
12,2353170,"Zoundri	Zoundri	Zoundouri,Zoundri	12.42718	-1.90874	P	PPL	BF		11				0		319	Africa/Ouagadougou	2018-09-05",,,,,,,,,,
13,2353171,Zoundi	Zoundi		12.73972	-1.51522	P	PPL	BF		11				0		300	Africa/Ouagadougou	2018-08-07,,,,,,,,,,
14,2353172,Zounara	Zounara		14.0603	-0.9666	P	PPL	BF		12	40			0		328	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
15,2353174,"Zoumbara	Zoumbara	Djimbara,Jimbara,Zoumbara	12.88333	-3.15	P	PPL	BF		01				0		274	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
16,2353175,Zouma	Zouma		13.33543	-2.05511	P	PPL	BF		10	76			0		315	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
